ProductID,ProductName,ProductGroupID,Price,Description,StockQuantity,SKU,Weight,Dimensions,Manufacturer,WarrantyPeriod,ReleaseDate
12,Bluetooth Speaker,4,28.92,"Could consider behind resource. Few forget whatever thought leg market here.
Also shoulder approach miss account. Theory research crime forget dinner assume bed nation. Arm yet miss religious option.",302,zEr-62352505,37.43,86x61x94 cm,Casey-Taylor,3 years,2023-01-21
13,Headphones,7,24.26,Federal sound finish mother information let. Answer along yard population send collection base. Everyone usually side whatever her name quality.,37,MZQ-05233371,12.01,75x12x89 cm,Le Ltd,6 months,2021-02-21
14,Monitor,8,449.39,"Be radio themselves notice what. Newspaper near person.
Use career travel certain area at. Color despite administration well short exist.",77,phr-88863796,17.4,16x17x79 cm,Williams Ltd,6 months,2021-04-19
15,Camera,10,403.83,"House less charge full. Reach we start want water color. Fear bag need carry college.
Bill discover kid hospital. Oil standard three family century.",46,bgI-15889009,4.32,60x33x87 cm,"White, Carter and Duke",3 years,2020-09-28
16,Smart Doorbell,5,84.61,"Answer commercial anyone to treat. Even well any federal office who couple. Create financial fill through born economy.
Difficult strong suggest too. Few such trial suffer return suffer.",179,Ztk-22327273,9.97,26x37x62 cm,Bautista Ltd,6 months,2020-02-08
17,Home Assistant,6,403.16,"Remain media upon now. Include travel serious continue picture true artist apply. Language skin short cause.
Song throw state thousand. World look system wide government scientist personal.",954,icF-10661610,9.18,71x77x5 cm,Kennedy Ltd,6 months,2022-06-29
18,Smartphone,1,244.27,Against adult cause protect executive and condition. Middle camera it money hour purpose.,49,BoE-20280923,17.48,6x79x9 cm,Roberts Inc,3 years,2023-10-15
19,Printer,6,385.31,"Per window people money need total. Military market charge much plant market tend. Congress state consider son star.
Cover final in good hard take. Learn blood able investment fear maintain on.",428,ceo-67983443,45.24,18x74x54 cm,"Hill, Johnson and Taylor",3 years,2021-02-07
20,Smart Thermostat,3,496.56,Cold consumer less north at. Boy successful hotel animal body window. Figure be network coach ready especially various behavior.,211,Qos-75672919,9.64,95x11x37 cm,Blair-Buck,6 months,2023-05-29
21,Headphones,9,310.25,"Goal wear system boy fight. Room then stock hear memory baby national.
Past administration chair general professor manager. Somebody represent marriage team.",283,ldJ-61086345,42.22,48x69x4 cm,Stevenson Group,6 months,2020-05-25
22,Smart Light,8,335.14,"Reach thought hope through garden. Or significant help great.
Fast play easy may. Technology miss door sign how operation popular.
True simply degree thus police edge. Big painting movie write.",46,hnu-84701471,38.69,67x44x14 cm,Ryan LLC,1 year,2021-08-30
23,Smart Thermostat,9,12.92,"Candidate Republican family let. Theory time word center. Yard seat about mind next plan.
Challenge important get success my. Oil boy development capital sort many. Mr police lot shake.",123,HLU-92829556,9.98,20x29x39 cm,Chaney-West,6 months,2023-03-16
24,Home Assistant,10,104.78,"Modern north case store production even method.
That she beautiful trip fast business control. Enjoy fine east finish off reflect. Use feel so listen civil. Bad hair break table record.",186,njN-45577811,14.73,71x49x34 cm,Smith Ltd,1 year,2020-02-02
25,Laptop,8,473.35,"She significant same hold finally board company. Store side leader many. Final clearly room say father.
Move guy wish. Anything market alone onto. Final cover true wear affect side.",966,aYd-97180782,18.97,97x86x84 cm,"Moss, Haney and Guerra",6 months,2021-09-04
26,Monitor,3,189.64,"Or option yourself easy well miss. Job win culture price civil.
Writer beyond leader. Strategy break interest above. Population others green.
Republican trade until. Up kid art relate detail.",932,ZyU-85593606,18.0,62x86x91 cm,Warren PLC,6 months,2021-04-09
27,Drone,4,89.17,Industry particularly already soon out pay story. Share campaign central all. Main address technology land site war foot. Voice air reveal fund.,644,LtX-52341531,35.91,35x31x25 cm,Holland-Mercado,3 years,2021-04-10
28,Bluetooth Speaker,8,440.96,Paper win someone issue. Play professor reduce federal mouth onto.,312,UJy-75401162,32.33,57x72x41 cm,Pearson-Martinez,6 months,2024-05-09
29,Smart Thermostat,1,176.49,Memory scene black price much various. Military whole go blood certainly water. Sort political option hear.,230,aTq-64184714,44.9,18x27x65 cm,Schwartz-Clayton,3 years,2021-07-30
30,VR Headset,1,416.1,"Forget firm degree management form total. High trade project hear figure actually staff.
Teacher light unit final respond. Over television hand.",994,she-01802025,18.93,51x38x44 cm,"Adkins, Duran and Gomez",3 years,2023-06-15
31,Electric Scooter,7,363.53,Pressure decide standard physical short throw. Item apply star prevent travel television best. However culture somebody similar must under.,37,fJV-21577199,30.59,37x9x31 cm,"Smith, Gonzalez and Duncan",3 years,2023-08-06
32,Drone,3,93.29,"Majority trade commercial pressure despite. Feeling policy power.
Dark other drive themselves. Bar morning audience couple stuff production. Player doctor step sing main likely institution.",727,jnT-92671621,30.01,50x74x46 cm,"Jones, Wright and Chaney",3 years,2020-12-24
33,Smartwatch,5,9.85,Group or consumer we watch car back stuff. Fear behind possible prepare understand reason. Total finish or firm trip best live. Film talk degree affect environment someone.,147,mRx-37749363,44.21,84x34x37 cm,"Thompson, Aguilar and Arnold",6 months,2020-04-18
34,Laptop,8,79.17,"Most difference stop leg. Section anyone class position accept happen.
Realize but they arrive. Media team size want help large than. Million concern happy baby start everything his.",806,fdp-50424011,33.96,47x96x38 cm,"Holt, Smith and Randall",6 months,2022-01-15
35,Smart Doorbell,2,483.79,Central true like a across third. Candidate feel day build central. Trade hope from cultural enjoy ago market upon.,198,Rkc-33022263,33.47,25x12x11 cm,Blake and Sons,2 years,2020-11-07
36,Laptop,5,75.28,"Six sit nearly young. Technology anything build final bill cold. Message may matter rather off west morning.
World group myself wife single production. Movie to day for brother.",530,qNQ-48975279,8.95,21x74x46 cm,Odom-Taylor,6 months,2020-04-27
37,Wireless Charger,2,417.51,"Learn life what hot happen challenge. Blood yard it recent similar face.
Should other but to author address wind your. Contain herself front reach.
They decade hour concern land.",906,ttB-21535121,10.84,26x96x24 cm,"Fischer, Gonzalez and Dougherty",1 year,2024-04-25
38,Bluetooth Speaker,10,392.76,"Left run exactly activity its speak myself. Area return from approach dinner.
Garden newspaper edge general explain yourself. Economic together discussion. Career once tell another single.",518,rlS-31667151,23.42,16x2x3 cm,Villanueva-Taylor,3 years,2021-07-10
39,Home Assistant,4,44.04,"Argue quite total. Wide fill within interesting civil marriage all final. Three over others bank have.
Really candidate not arrive agent make American development. Either beat a such wide teach.",187,chy-54523747,8.92,40x81x88 cm,Schultz PLC,6 months,2023-10-14
40,Headphones,8,201.47,Speak short attack night personal. Base just picture part drug relationship.,66,cKW-46881837,31.06,35x22x5 cm,Jordan-Haley,2 years,2022-08-19
41,Gaming Console,2,277.66,Time someone across action traditional. Name tough perform some relate bank what country. Establish purpose life blue everyone.,370,bCe-25332262,42.31,77x54x78 cm,Pearson PLC,3 years,2022-07-11
42,Wireless Charger,10,245.55,Determine long deal case arrive himself. Occur question market find place suggest positive. It lawyer way hard. Anyone edge strategy care.,220,hel-72637215,1.63,9x79x92 cm,"Snyder, Taylor and Jackson",6 months,2022-05-01
43,Smartwatch,10,214.84,"Majority network free can. Health by seat less believe.
Imagine argue time fast arrive life begin. Environmental author girl so civil democratic long.",442,pke-64356330,28.31,24x35x48 cm,Day-Williams,1 year,2021-06-18
44,Printer,9,126.18,His become run individual service call. Environment side issue worry exactly foot.,747,jDb-09095919,44.58,19x63x84 cm,Davis Inc,1 year,2020-09-01
45,Drone,9,266.22,"Ago enjoy bring fight. Design especially to her two across. Term meet artist.
Focus believe never prepare American blood house. Condition miss through marriage. Move own unit single image kind.",350,MVp-24643222,15.01,68x17x91 cm,Powell-Powell,3 years,2022-06-21
46,Smartphone,3,448.34,Indeed skin five put. Fight Republican increase free manager more. Trip campaign try hear drop however.,524,pDw-62960022,22.15,76x58x96 cm,Lopez-Fisher,1 year,2024-01-11
47,Smart Thermostat,8,105.34,President word word two. Fact house kitchen body economy. Style down white hit do history century wish. Executive plan space stage hand democratic manage.,447,jTX-98090963,27.39,81x63x51 cm,"Evans, Cox and Ortiz",1 year,2022-01-19
48,Tablet,2,153.8,"Man impact school beautiful. Little including nice appear.
Argue performance no Mrs themselves far. Everybody guess house let. Much grow always make approach.",846,HdS-37438346,20.09,5x28x69 cm,Rios Group,6 months,2022-07-31
49,VR Headset,4,147.64,"Author course visit decide store need. Miss home letter American movie natural paper.
Certainly star claim now whether. Nothing effort draw watch only light.",897,wNY-61400381,19.84,47x5x15 cm,Dixon Group,2 years,2022-05-09
50,Printer,4,33.71,Republican beautiful know great street. Special full sometimes recognize. Brother activity fund according card majority officer behavior.,119,pzu-79772172,5.05,21x47x94 cm,"Moore, Simmons and Harper",6 months,2020-04-11
51,Gaming Console,6,17.96,"Sound daughter election talk style fast professor. Image seek test culture.
Instead method door place arrive key guy. Course idea school true.",393,IYz-71382890,4.99,80x6x68 cm,Cruz-King,3 years,2023-09-07
52,Smart TV,3,376.7,Think your well speak off charge environmental. Particular food require town. Also deal dark buy street number north do.,948,KRg-02062027,48.92,10x98x92 cm,"Roberts, Adkins and Price",2 years,2021-10-23
53,Wireless Charger,3,478.99,"Task act heavy. Pressure share out increase every improve Mr.
Capital light ask stuff simple teach. May prepare assume name man concern stock.",526,nRr-63323170,8.86,57x12x11 cm,"Shaw, Gonzales and Woods",2 years,2020-09-23
54,Tablet,6,215.28,Play know recently room size. Always blood talk director. Expert guess street anything someone school data.,425,ZUj-28456195,36.06,56x41x39 cm,Lloyd Ltd,1 year,2020-12-02
55,Smart Light,6,222.55,"And truth dream good see. Morning have medical expert ready almost according.
Night staff between across then see. Fire foreign majority she why region truth maybe.",308,onQ-74300853,41.68,50x36x4 cm,"Benson, Jordan and Velasquez",1 year,2024-05-04
56,Printer,7,236.07,"Cause toward most. Keep tell kind reality account.
Green beat Congress new build real program. Door cell item watch.
Call out bill report. Different down law single lead process number.",829,QmK-30519164,39.07,46x80x79 cm,Beasley-Rivera,6 months,2023-05-04
57,Camera,10,399.13,Time sell month. Coach method commercial project mother. Social several center want level will difficult.,631,OrF-14383951,21.1,94x23x7 cm,"Garcia, Gomez and Smith",2 years,2022-07-28
58,Home Assistant,3,423.87,"Born call computer care. May for at the summer.
You need current professional clear build. Partner trip almost wrong.
It manager project check.",268,UlM-58744261,16.87,41x91x94 cm,Jenkins Ltd,2 years,2023-09-14
59,Printer,2,424.23,"About ask Congress child specific reflect. White understand increase.
Official social so case stuff. Fund house physical detail activity. Almost on amount edge candidate appear hundred.",585,dJK-05001196,23.52,47x13x24 cm,Wilson-Roberts,1 year,2022-12-15
60,Smart Thermostat,3,48.49,"College always nice consider sign free firm.
Marriage per fish thus type life drug. Let guess value place purpose per.",898,crw-92915239,38.62,13x74x16 cm,Ramos Inc,6 months,2021-02-19
61,Smart TV,7,371.09,"Support general relationship full design. Happen song how benefit wide lay ground.
Sign nor ground. Professor paper life young enter seem.",137,BHM-88827844,9.47,9x27x3 cm,"White, Harris and Thomas",6 months,2024-01-03
62,Bluetooth Speaker,9,266.17,"Control civil hard table. Attention admit television these.
Other visit economy interesting great. Movie member small kind door.",275,SMz-89519104,14.15,27x67x82 cm,Morgan LLC,2 years,2022-08-24
63,Smart Thermostat,10,80.22,"Attack save already tough consider couple south.
Happen receive scene challenge break society. Season mother responsibility approach structure thing. Song could response pretty.",366,nbk-28303514,42.47,6x45x49 cm,Kline-Silva,1 year,2022-10-26
64,Router,1,151.2,Particular radio none leader send discuss. Page media couple walk newspaper world through. Pull general it miss summer.,217,ueD-20267026,15.82,22x13x97 cm,Dominguez Ltd,6 months,2021-10-31
65,Smartwatch,4,328.36,"Law standard debate million forward. Quite financial maybe woman issue letter against. Upon region certainly place piece.
Lead security course several cultural management team tonight.",947,Gbb-78757674,29.38,69x27x33 cm,Jones Group,3 years,2021-07-02
66,Electric Scooter,6,405.26,Not care career admit throw. Industry skin beyond letter word affect feel. Money wait animal not myself care. Rock home laugh city.,575,wJG-06604333,42.95,54x78x29 cm,"Andrews, Parks and Smith",3 years,2021-08-02
67,Camera,4,93.28,"Purpose audience itself crime. Rise reality tax choice agreement lot new.
Member audience student accept. Man population hard reflect have once camera better.",606,NeS-55557808,25.4,45x58x40 cm,Williams Inc,3 years,2024-01-14
68,Smart Doorbell,2,320.52,Know grow seek add. Us second office worker then dark table. Sure above type father.,34,iCP-62890191,8.54,88x42x82 cm,"Compton, Moon and Williams",6 months,2021-08-13
69,Laptop,2,300.54,Scientist during ago. Yeah woman race lot yeah somebody discussion. Foot church week write focus represent design.,878,FZW-95544478,22.81,15x14x74 cm,Butler-Nielsen,6 months,2023-03-25
70,Home Assistant,2,185.67,"Student but eat bit no sea feeling report. Color dark accept least.
Bank job agent once. Billion effect magazine practice remain plant him responsibility.",680,bFx-00676339,21.75,60x14x74 cm,Silva-Vega,6 months,2020-07-09
71,Laptop,3,439.15,"Decade oil long myself discover indicate. May enjoy help much somebody.
Station meet technology line. Character try popular scene. And ahead subject.",275,GiX-98825403,24.16,25x40x50 cm,Fox Ltd,6 months,2023-12-18
72,Router,5,337.62,"Interest leg minute. Quite walk live by worker spend low.
General standard part ok form.
Speech picture season. Office lose you moment record degree industry.",333,ICN-18831829,41.61,69x65x33 cm,Lindsey-Williams,6 months,2020-04-17
73,Drone,8,152.38,Political environment as mention card just political. Clear realize capital yet enjoy magazine.,440,OEh-35705731,47.59,46x87x92 cm,"Owens, Parker and Clark",6 months,2020-10-15
74,Electric Scooter,7,287.73,"Value it bar teach create night most hold. Task poor anyone data stuff vote chance factor. Off ball anything social.
President bit style. Information attention yard business live side partner.",720,Lcv-66750858,39.42,42x94x29 cm,"Edwards, Bates and Pierce",6 months,2021-04-28
75,Electric Scooter,3,397.03,Join our thank future everyone read ground year. Set beyond past compare. Vote indeed around partner.,924,YOP-69285927,1.74,9x81x94 cm,Collier-Kelly,1 year,2022-03-25
76,Wireless Charger,9,132.68,Place child according room system hour ball eight. Ground case exactly product tell medical news. Minute on rise market.,298,fdt-23774611,41.99,94x49x4 cm,Crane-Turner,6 months,2022-07-21
77,Laptop,5,330.93,Owner movie daughter weight kid figure finish. Line science service shoulder attention item medical. Because music million than. Push try compare.,771,nZE-25578537,22.68,31x1x25 cm,Pham Ltd,6 months,2021-02-28
78,Smart Light,9,110.35,"Onto pass fast action morning wish rise. Keep majority material degree level eye.
Recently community play me case government.",74,wzO-04775868,47.56,95x4x36 cm,"Herring, Myers and Brennan",2 years,2023-01-19
79,Smartwatch,1,46.84,Choose citizen piece along not. In explain cost thought firm college start month.,161,LhD-28076264,28.45,59x82x65 cm,Beasley Ltd,3 years,2022-09-19
80,Smart Doorbell,9,483.53,"Tend mean red owner card. Maintain fly campaign speech.
Program same teach land maybe attorney. What board current such several painting. White bad play professor apply stuff.",428,GYq-86668399,44.01,21x76x55 cm,Barnett LLC,1 year,2020-10-28
81,Drone,6,450.54,Give onto notice force. Not heavy nice administration his expect community. Find member put.,927,IIG-62064855,28.17,97x21x49 cm,"Hall, Johnson and Mccarthy",6 months,2023-09-03
82,Tablet,7,228.88,"Receive east last blue bank. Range church scene suggest energy parent. Measure behind news product second professional develop.
Prove evidence bad science much his. Lead treatment tell son.",976,KqI-27918626,7.95,5x68x62 cm,Brown and Sons,1 year,2020-10-17
83,Smartwatch,8,48.89,Final school federal. Significant media reflect save effort stuff friend. Nice only resource history responsibility process five occur.,575,zjL-54388306,15.6,6x1x3 cm,Smith-Perry,6 months,2023-01-02
84,Electric Scooter,4,479.05,"Dream drop at on public. State half any thank.
Great play reality. Near with pick strong senior country name nice.
Economic authority for might. Relate nor kind fly. Happen art box point group.",117,aeW-94784934,23.72,66x47x48 cm,"Petty, Owens and Gutierrez",3 years,2023-03-21
85,Gaming Console,6,40.31,Government coach board pick work. Candidate also really. Home change something piece local into off several.,247,KQk-88992220,36.35,18x45x37 cm,Wong-Morrow,6 months,2023-02-27
86,Tablet,8,460.54,"Event face organization south increase understand. Memory cultural drug. Catch whose small.
Amount occur still I. School guy machine final hear. Stop than will summer program.",294,wfr-60193054,38.49,40x23x72 cm,"Mccarty, Patel and Daniel",2 years,2023-04-22
87,VR Headset,6,409.79,"Help surface value medical. Organization far outside account author. Question behind worker environment worker.
Late room small sure require factor. Quite seek health better peace.",190,naf-34244544,5.5,49x38x21 cm,"Conway, Ross and Murphy",1 year,2020-06-29
88,Drone,9,432.16,"Onto story before their. Interest decide try. Medical blue charge two rock make attention.
East listen institution way street.",983,lpJ-69124227,2.09,1x98x4 cm,"Campbell, Stevens and Hudson",3 years,2023-08-26
89,Monitor,10,349.07,"Wall team local also fish will. Arm before religious miss actually religious main.
Room environmental offer keep wide. Far eat those figure evening necessary. Too debate art might.",262,uZR-35730608,28.1,45x95x51 cm,"Willis, Johnson and Frost",1 year,2020-03-29
90,Monitor,8,220.63,Imagine television baby across four so. Financial hospital between gas finally. Pay interview quality fire majority difficult local.,96,zgE-72593974,48.79,26x11x90 cm,"Hall, Carlson and Rojas",1 year,2022-11-15
91,Smart Light,6,256.73,"Most land have early role red. Law these finally.
Serious modern buy. Time bad model strong.",412,DCy-82631904,45.09,14x95x22 cm,Ware-Calderon,6 months,2023-01-15
92,Smart Light,3,331.06,Fish security its morning citizen letter. War quickly world analysis close.,608,rJk-07066850,20.21,49x71x13 cm,"Morris, Hicks and Rivera",1 year,2021-05-17
93,Smart TV,3,323.94,Cup behind beat same how use. Much line peace stuff office. Recognize system Democrat camera race police training.,417,Yoc-90431005,49.18,20x30x75 cm,Osborn Group,1 year,2021-04-12
94,Camera,4,139.56,Way difficult song name pretty style court. Nature reason onto. Left role share station fish. Arm man culture less father.,169,Mxl-20052254,6.06,53x82x22 cm,"Guzman, Cameron and French",2 years,2021-10-13
95,Home Assistant,2,429.85,"Pull friend left executive bar scene. Couple drive call mother article husband.
Major natural yes month look use attack similar. Process agreement call thousand.",66,weO-55490656,41.46,99x3x84 cm,Rogers LLC,3 years,2020-04-23
96,Smart Thermostat,1,39.48,"Charge goal thousand wind third sea.
Audience skill guy yeah let position smile. Message many soldier check. Though able bar any.",375,BDR-69259603,48.35,62x59x41 cm,"Obrien, Diaz and Foster",2 years,2024-01-29
97,Printer,4,302.71,"Pay per everybody public. Affect wonder reality both. Again turn who able. Actually politics their.
Ask subject staff west. Understand mouth occur might according and. Last ask crime color.",308,gGW-29395189,38.0,41x35x26 cm,"Castillo, Lamb and Roy",3 years,2023-09-11
98,Gaming Console,10,430.74,"Whose source admit culture reality air or. Full about knowledge fast.
Name camera hospital professional instead result role. Lawyer another reduce church.",852,JmK-25654566,42.76,67x16x64 cm,Stokes-Bean,1 year,2022-10-16
99,Smartwatch,4,351.76,Measure significant wall standard director money heart major. Thing tend type Republican. Small and something already glass child.,707,ZoG-24788702,16.59,76x29x97 cm,Gross-Brown,3 years,2022-04-11
100,Monitor,9,406.33,"Shake paper child live peace. Throw reason somebody cultural manager appear my.
Eight worker message southern during analysis. Rest see exist begin necessary.",876,DDj-39035005,34.73,12x65x98 cm,"Wilcox, Cross and Barnes",2 years,2020-11-12
